Common Name,Scientific Name
red maple,Acer rubrum L.
starved panicgrass,Dichanthelium depauperatum (Muhl.)Gould
prairie fleabane,Erigeron strigosus Muhl.exWilld.
Virginia creeper,Parthenocissus quinquefolia (L.)Planch.
black cherry,Prunus serotina Ehrh.
roundleaf greenbrier,Smilax rotundifolia L.
blackhaw,Viburnum prunifolium L.
western brackenfern,Pteridium aquilinum (L.)Kuhn
Allegheny blackberry,Rubus allegheniensis Porter
Virginia threeseed mercury,Acalypha virginica L.
American chestnut,Castanea dentata (Marsh.)Borkh.
white wood aster,Eurybia divaricata (L.)Nesom
northern red oak,Quercus rubra L.
flameleaf sumac,Rhus copallinum L.
mapleleaf viburnum,Viburnum acerifolium L.
nimblewill,Muhlenbergia schreberi J.F.Gmel.
smooth rockcress,Arabis laevigata (Muhl.exWilld.)Poir.
butterfly milkweed,Asclepias tuberosa L.
smooth yellow false foxglove,Aureolaria flava (L.)Farw.
American bittersweet,Celastrus scandens L.
sanddune sandbur,Cenchrus tribuloides L.
scaldweed,Cuscuta gronovii Willd.exJ.A.Schultes
eastern hayscented fern,Dennstaedtia punctilobula (Michx.)T.Moore
American burnweed,Erechtites hieraciifolius (L.) Raf. ex DC.
red fescue,Festuca rubra L.
Virginia strawberry,Fragaria virginiana Duchesne
licorice bedstraw,Galium circaezans Michx.
fragrant bedstraw,Galium triflorum Michx.
black huckleberry,Gaylussacia baccata (Wangenh.)K.Koch
spotted geranium,Geranium maculatum L.
cream avens,Geum virginianum L.
American witchhazel,Hamamelis virginiana L.
rough hawkweed,Hieracium scabrum Michx.
eastern redcedar,Juniperus virginiana L.
mountain laurel,Kalmia latifolia L.
Canada lettuce,Lactuca canadensis L.
trailing lespedeza,Lespedeza procumbens Michx.
woodland flax,Linum virginianum L.
trumpet honeysuckle,Lonicera sempervirens L.
partridgeberry,Mitchella repens L.
common evening-primrose,Oenothera biennis L.
switchgrass,Panicum virgatum L.
broad beechfern,Phegopteris hexagonoptera (Michx.)F_e
American lopseed,Phryma leptostachya L.
clammy groundcherry,Physalis heterophylla Nees
pitch pine,Pinus rigida P.Mill.
climbing false buckwheat,Polygonum scandens L.
Christmas fern,Polystichum acrostichoides (Michx.)Schott
